disease,scenario,model,year,epsilon,max_l_attack,avg_attack,std_attack,max_attack_idx,delta_std,sum_attack
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.4,2.2662372834187283,0.06195782505222166,0.2936680122891579,89,7.506025055926351,0.06195782505222166
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2,1.026771927068394,0.03155482747386139,0.14372929815195615,89,6.924246569007459,0.03155482747386139
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,0.6143238340002879,0.01994855049247678,0.08911326087465266,89,6.66988591455388,0.01994855049247678
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1,0.44478268942838356,0.014846374377103198,0.06585133586154888,89,6.528892837576034,0.014846374377103198
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.08,0.35936851616296217,0.012246365101416025,0.054161207568694296,89,6.4090548686766375,0.012246365101416025
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.5333,3.432195702284272,0.08808884345867336,0.4291754437132961,89,7.79193429589503,0.08808884345867336
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2667,1.4702598903930424,0.043293608853518885,0.19994054559474225,89,7.136953024184644,0.043293608853518885
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1778,0.918420075241106,0.028627907728860813,0.12994566857944667,89,6.847416903074693,0.028627907728860813
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,0.6143238340002879,0.01994855049247678,0.08911326087465266,89,6.66988591455388,0.01994855049247678
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1067,0.5154405816075727,0.01699906720099831,0.07585700929620849,89,6.570803661138901,0.01699906720099831
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.6667,4.681461947042493,0.11295324866411552,0.5675758425598693,89,8.049159875750844,0.11295324866411552
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.3333,1.9103206326258435,0.053869001631829026,0.25233464362139996,89,7.3571016819213035,0.053869001631829026
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2222,1.1632300471929753,0.03538915260118776,0.16134065382631665,89,6.9904321560882545,0.03538915260118776
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1667,0.8560197016259636,0.026863213408586363,0.12160298352975953,89,6.818553822854686,0.026863213408586363
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,0.6143238340002879,0.01994855049247678,0.08911326087465266,89,6.66988591455388,0.01994855049247678
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.8,5.478634936465138,0.12693494288152088,0.6479290316216556,89,8.259700881420958,0.12693494288152088
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.4,2.2662372834187283,0.06195782505222166,0.2936680122891579,89,7.506025055926351,0.06195782505222166
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2667,1.4702598903930424,0.043293608853518885,0.19994054559474225,89,7.136953024184644,0.043293608853518885
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2,1.026771927068394,0.03155482747386139,0.14372929815195615,89,6.924246569007459,0.03155482747386139
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.16,0.7980969542328964,0.02526652228270237,0.11391505476464318,89,6.784269502805561,0.02526652228270237
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.0001,0.003544958209297717,0.00011857803672570969,0.00040400349293189084,90,8.481065714819565,0.00011857803672570969
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,0.5,3.0582769580332783,0.07950209613732226,0.38423480387260933,89,7.75248580262279,0.07950209613732226
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,1.0,7.304033119909885,0.15802466881038466,0.8374012017136154,89,8.533554091487176,0.15802466881038466
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,10.0,33.88941017211249,0.4251230144824984,3.2969606556839484,89,10.15004140250739,0.4251230144824984
ZIKV,SSP1-2.6,MRI-ESM2-0,2030,100.0,9.088984940179582,0.1418887862468636,0.9347192457431405,89,9.571960986873023,0.1418887862468636
ZIKV,SSP1-2.6,CESM2,2030,0.4,0.09232194459259188,0.007011474282162087,0.01768600068764904,89,4.82361568435345,0.007011474282162087
ZIKV,SSP1-2.6,CESM2,2030,0.2,0.042838969423310586,0.0035136520428146033,0.008428456695333666,89,4.665779133950829,0.0035136520428146033
ZIKV,SSP1-2.6,CESM2,2030,0.1333,0.02973122451995767,0.002588543187739549,0.006099163381466884,89,4.4502302421828475,0.002588543187739549
ZIKV,SSP1-2.6,CESM2,2030,0.1,0.021808520272682135,0.0019253540023733355,0.004463378252378773,89,4.454734765020643,0.0019253540023733355
ZIKV,SSP1-2.6,CESM2,2030,0.08,0.01722250821229801,0.0015016228636213064,0.00346366328570734,89,4.53880301054328,0.0015016228636213064
ZIKV,SSP1-2.6,CESM2,2030,0.5333,0.13229981830424953,0.009019540139719255,0.023325782705087023,89,5.285150758848688,0.009019540139719255
ZIKV,SSP1-2.6,CESM2,2030,0.2667,0.06294971298414268,0.004974036582913331,0.012237112348544998,89,4.73769258219834,0.004974036582913331
ZIKV,SSP1-2.6,CESM2,2030,0.1778,0.03982939576665099,0.0032404186138625464,0.007776339084363459,89,4.705167400218052,0.0032404186138625464
ZIKV,SSP1-2.6,CESM2,2030,0.1333,0.02973122451995767,0.002588543187739549,0.006099163381466884,89,4.4502302421828475,0.002588543187739549
ZIKV,SSP1-2.6,CESM2,2030,0.1067,0.02220095788123823,0.0019844837137005895,0.004590514888444032,89,4.40396658301441,0.0019844837137005895
ZIKV,SSP1-2.6,CESM2,2030,0.6667,0.1787099372297821,0.011107526202160229,0.029812367530995067,89,5.621908788470772,0.011107526202160229
ZIKV,SSP1-2.6,CESM2,2030,0.3333,0.07139957765146762,0.005781541553744299,0.01435219623935099,89,4.571985708905732,0.005781541553744299
ZIKV,SSP1-2.6,CESM2,2030,0.2222,0.04834936434537366,0.003970897038806378,0.009599458940670803,89,4.623017565973999,0.003970897038806378
ZIKV,SSP1-2.6,CESM2,2030,0.1667,0.039167711264956884,0.0031213613283117645,0.007490223607047549,89,4.812453115916209,0.0031213613283117645
ZIKV,SSP1-2.6,CESM2,2030,0.1333,0.02973122451995767,0.002588543187739549,0.006099163381466884,89,4.4502302421828475,0.002588543187739549
ZIKV,SSP1-2.6,CESM2,2030,0.8,0.21117315118160704,0.01291776269166686,0.03528555284303444,89,5.618599469643193,0.01291776269166686
ZIKV,SSP1-2.6,CESM2,2030,0.4,0.09232194459259188,0.007011474282162087,0.01768600068764904,89,4.82361568435345,0.007011474282162087
ZIKV,SSP1-2.6,CESM2,2030,0.2667,0.06294971298414268,0.004974036582913331,0.012237112348544998,89,4.73769258219834,0.004974036582913331
ZIKV,SSP1-2.6,CESM2,2030,0.2,0.042838969423310586,0.0035136520428146033,0.008428456695333666,89,4.665779133950829,0.0035136520428146033
ZIKV,SSP1-2.6,CESM2,2030,0.16,0.036164036942796164,0.003026749198712213,0.007201978143961101,89,4.601136949001956,0.003026749198712213
ZIKV,SSP1-2.6,CESM2,2030,0.0001,0.001275623265107459,0.00011591395302509051,0.0002298580434165963,58,5.045328389837998,0.00011591395302509051
ZIKV,SSP1-2.6,CESM2,2030,0.5,0.12650114150985076,0.008609650186379183,0.02230136144030176,89,5.286291226616539,0.008609650186379183
ZIKV,SSP1-2.6,CESM2,2030,1.0,0.2781640497296229,0.015361025427713082,0.04343288280395292,89,6.050784735799107,0.015361025427713082
ZIKV,SSP1-2.6,CESM2,2030,10.0,1.0353488825218014,0.03497620161422053,0.14236941899659464,77,7.026598043021507,0.03497620161422053
ZIKV,SSP1-2.6,CESM2,2030,100.0,1.811503267750697,0.02738190211493988,0.17988887850738045,77,9.917908102154067,0.02738190211493988
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.4,14.109036410139714,0.3687650644819167,1.8197600469885447,89,7.550595128405021,0.3687650644819167
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.2,6.776788239038558,0.19447899687223616,0.9274457621776963,89,7.097244400266252,0.19447899687223616
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1333,4.313927132276525,0.1288289154299094,0.6065375450966285,89,6.899982120941716,0.1288289154299094
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1,3.103790810981582,0.09504338951235314,0.44371441509088044,89,6.780819642411178,0.09504338951235314
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.08,2.5167223620494847,0.07831864541665627,0.3642367453714225,89,6.694557173649021,0.07831864541665627
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.5333,20.756809812293383,0.5181134571221057,2.607675109624771,89,7.761203180745744,0.5181134571221057
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.2667,8.890892724555401,0.24645636488372044,1.1886451196079209,89,7.272512390008451,0.24645636488372044
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1778,5.967341202033608,0.173363997117843,0.8234242294790308,89,7.036442452733671,0.173363997117843
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1333,4.313927132276525,0.1288289154299094,0.6065375450966285,89,6.899982120941716,0.1288289154299094
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1067,3.3888436424984105,0.10327392335458645,0.4830091323034969,89,6.802293164675299,0.10327392335458645
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.6667,26.28726443912541,0.6301267568375638,3.2284129738494025,89,7.947291096310868,0.6301267568375638
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.3333,11.575521125889757,0.3108192982160061,1.5176179364502045,89,7.422620382322664,0.3108192982160061
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.2222,7.294191362041272,0.20646284305359036,0.9892166922205059,89,7.1649908202395745,0.20646284305359036
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1667,5.402854111698913,0.1581849792626811,0.7489177543082547,89,7.002997461691267,0.1581849792626811
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.1333,4.313927132276525,0.1288289154299094,0.6065375450966285,89,6.899982120941716,0.1288289154299094
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.8,31.836328350228417,0.7392278596947933,3.845070452939882,89,8.087524239447227,0.7392278596947933
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.4,14.109036410139714,0.3687650644819167,1.8197600469885447,89,7.550595128405021,0.3687650644819167
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.2667,8.890892724555401,0.24645636488372044,1.1886451196079209,89,7.272512390008451,0.24645636488372044
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.2,6.776788239038558,0.19447899687223616,0.9274457621776963,89,7.097244400266252,0.19447899687223616
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.16,5.23969864299769,0.1538408288027919,0.7280675302357184,89,6.985420449320555,0.1538408288027919
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.0001,0.07104535264198183,0.0040627244506498015,0.011227219544691663,56,5.966092310273033,0.0040627244506498015
ZIKV,SSP1-2.6,ACCESS-CM2,2030,0.5,18.86350888331837,0.47570543000590815,2.382569783705843,89,7.717634790411938,0.47570543000590815
ZIKV,SSP1-2.6,ACCESS-CM2,2030,1.0,38.97750925330778,0.8681355667397381,4.609999267998828,89,8.266676732708264,0.8681355667397381
ZIKV,SSP1-2.6,ACCESS-CM2,2030,10.0,88.96971895612847,1.3591298882592695,9.029783241460166,89,9.70240223105312,1.3591298882592695
ZIKV,SSP1-2.6,ACCESS-CM2,2030,100.0,50.12254810163132,0.7132886204635481,5.158588852549388,89,9.578057273695999,0.7132886204635481
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.4,0.013888475137059167,0.00041434266941956806,0.0018579483546384981,89,7.252156624268099,0.00041434266941956806
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.2,0.006707306338303874,0.00022044428261126545,0.0009568623202503346,89,6.7793055682195895,0.00022044428261126545
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.1333,0.004819724151555198,0.00016479940241466564,0.0007088838654471927,89,6.566554799782354,0.00016479940241466564
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.1,0.003470209047405197,0.00012163319320011032,0.000519107769503863,89,6.450637133413523,0.00012163319320011032
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.08,0.002735193190971976,9.807907731769709e-05,0.0004151711471140234,89,6.351872310938835,9.807907731769709e-05
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.5333,0.017352580075878116,0.0004909269172563919,0.0022454212571988283,89,7.509349572853292,0.0004909269172563919
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.2667,0.008672321831964697,0.0002754753335633378,0.0012063428899909954,89,6.960580252985979,0.0002754753335633378
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.1778,0.0061828909106229875,0.0002057439440808035,0.0008910009434310464,89,6.708350884035567,0.0002057439440808035
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.1333,0.004819724151555198,0.00016479940241466564,0.0007088838654471927,89,6.566554799782354,0.00016479940241466564
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.1067,0.0036465095201102084,0.0001273291181785424,0.0005447779480311288,89,6.459843711828399,0.0001273291181785424
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.6667,0.02302348503717006,0.0006209436670750872,0.0028947768515865187,89,7.738952782428455,0.0006209436670750872
ZIKV,SSP2-4.5,MRI-ESM2-0,2030,0.3333,0.011019226738653484,0.00034091817839951126,0.0015044220518994561,89,7.097947379042824,0.00034091817839951126
